location,population,total_cases,infection_rate
Saint Martin (French part),31816,"      12,324",38.73522755846115162200
Puerto Rico,3252412,"   1,252,713",38.51643026775205601300
Serbia,6871547,"   2,567,962",37.37094427208312771500
United Kingdom,67508936,"  24,796,408",36.73055667771152547900
Maldives,523798,"     186,694",35.64236595023272330200
Palau,18084,"       6,246",34.53881884538818845400
Ireland,5023108,"   1,723,615",34.31371573137587326400
Slovakia,5643455,"   1,868,111",33.10225739374195417500
French Guiana,304568,"      98,041",32.19018412965249139800
Montserrat,4413,"       1,403",31.79243145252662587800
Croatia,4030361,"   1,276,216",31.66505432143671497400
Wallis and Futuna,11596,"       3,550",30.61400482925146602300
United States,338289856," 103,436,829",30.57639097519968201500
Uruguay,3422796,"   1,040,506",30.39929928631446338000
Guam,171783,"      52,060",30.30567634748490828500
Mongolia,3398373,"   1,011,224",29.75612153227441484500
Spain,47558632,"  13,980,340",29.39600954039216266800
Bermuda,64207,"      18,860",29.37374429579329356600
Northern Mariana Islands,49574,"      14,313",28.87198934925565820800
New Caledonia,289959,"      80,064",27.61217965298542207700
Norway,5434324,"   1,489,459",27.40835842691749700600
Japan,123951696,"  33,803,572",27.27156875691317688800
Chile,19603736,"   5,288,892",26.97900032932498172800
Finland,5540745,"   1,489,281",26.87871396355544245400
Tuvalu,11335,"       2,943",25.96382884869872077600
Sweden,10549349,"   2,720,686",25.79008429809270695300
French Polynesia,306292,"      78,649",25.67778459770415159400
United States Virgin Islands,99479,"      25,389",25.52196946089124337800
Sint Maarten (Dutch part),44192,"      11,051",25.00678855901520637200
Anguilla,15877,"       3,904",24.58902815393336272600
Curacao,191173,"      45,883",24.00077416790027880500
Costa Rica,5180836,"   1,238,884",23.91282024754306061800
Mauritius,1299478,"     309,983",23.85442462281008220200
Panama,4408582,"   1,047,727",23.76562350433767592400
British Virgin Islands,31332,"       7,305",23.31482190731520490200
Micronesia (country),114178,"      26,547",23.25053863266128325900
Malta,533293,"     120,632",22.62021065343066569400
Lebanon,5489744,"   1,239,904",22.58582549568795922000
Hungary,9967304,"   2,207,993",22.15235935414431023700
Argentina,45510324,"  10,054,576",22.09295631470345058400
Dominica,72758,"      15,798",21.71307622529481294200
Greenland,56494,"      11,971",21.18986087018090416700
Turkey,85341248,"  17,004,677",19.92550776852946889200
Bulgaria,6781955,"   1,307,688",19.28187373699766512800
Moldova,3272993,"     625,712",19.11742554903111616800
Qatar,2695131,"     514,524",19.09087164965265139200
American Samoa,44295,"       8,359",18.87120442487865447600
Romania,19659270,"   3,485,792",17.73103477392599013100
Belize,405285,"      71,060",17.53334073553178627400
Brazil,215313504,"  37,721,749",17.51945340130640389400
Saint Lucia,179872,"      30,150",16.76191958726205301500
North Macedonia,2093606,"     349,618",16.69932164886802961000
Poland,39857144,"   6,529,896",16.38325114313258370900
Armenia,2780472,"     450,570",16.20480263782552027100
Russia,144713312,"  23,098,734",15.96172023206821498200
Tonga,106867,"      16,860",15.77661953643313651500
Grenada,125459,"      19,693",15.69676149180210267900
Kuwait,4268886,"     666,486",15.61264461032690964300
Jordan,11285875,"   1,746,997",15.47949981724943790400
Kosovo,1782115,"     274,279",15.39064538483767882500
Malaysia,33938216,"   5,131,899",15.12129865635836603800
Turks and Caicos Islands,45726,"       6,657",14.55845689542054848400
Ukraine,39701744,"   5,520,483",13.90488790618366790100
Saint Kitts and Nevis,47681,"       6,607",13.85667246911767790100
Palestine,5250076,"     703,228",13.39462514447409904200
Suriname,618046,"      82,588",13.36275940625778663700
Peru,34049588,"   4,522,474",13.28202267821860282100
Mayotte,326113,"      42,027",12.88725073824103914900
Botswana,2630300,"     330,321",12.55830133444854199100
Trinidad and Tobago,1531043,"     191,496",12.50755204132085121100
Bosnia and Herzegovina,3233530,"     403,266",12.47138576107226467700
