location,population,totaldeathcount,totalcasecount,death_percent
Algeria,44903228,6881,271945,0.01532406534336462400
Syria,22125242,3163,57423,0.01429588883140803600
Samoa,222390,31,16778,0.01393947569584963400
Gambia,2705995,372,12626,0.01374725378280447700
Malawi,20405318,2686,88986,0.01316323519192398800
Pakistan,235824864,30656,1580631,0.01299947744271783000
Gabon,2388997,307,48992,0.01285058122718446300
Cook Islands,17032,2,7168,0.01174260216063879800
Senegal,17316452,1971,89022,0.01138223927164756400
Tonga,106867,12,16860,0.01122891070208764200
Equatorial Guinea,1674916,183,17130,0.01092592106111590100
Sudan,46874200,5046,63993,0.01076498372238886200
Rwanda,13776702,1468,133194,0.01065567071132118600
Kenya,54027484,5689,344070,0.01052982589379879300
Timor,1341298,138,23460,0.01028854139795929000
Laos,7529477,671,218891,0.008911641538980728674800
Tuvalu,11335,1,2943,0.008822232024702249669200
China,1425887360,121764,99317967,0.008539524468468533166600
Guinea-Bissau,2105580,177,9614,0.008406234861653321175200
Nauru,12691,1,5393,0.007879599716334410212000
Somalia,17597508,1361,27334,0.007734049616570709898200
Uganda,47249588,3632,171871,0.007686839512759349351400
Haiti,11585003,860,34427,0.007423390395324023653700
Cameroon,27914542,1974,125090,0.007071582976356911032200
Mozambique,32969520,2249,233654,0.006821452056323537619000
Papua New Guinea,10142625,670,46864,0.006605784991557905374600
Congo,5970430,389,25196,0.006515443611264180301900
Yemen,33696612,2159,11945,0.006407172329372460353000
Ethiopia,123379928,7574,501060,0.006138761890021527650800
Liberia,5302690,294,8090,0.005544355789231503255900
Angola,35588996,1936,105976,0.005439883721361512980000
Madagascar,29611718,1425,68354,0.004812284109959442407200
Ghana,33475870,1462,171653,0.004367324882071772891900
Vanuatu,326744,14,12019,0.004284699948583600617000
Nicaragua,6948395,245,16058,0.003525994132457927334300
Guinea,13859349,468,38563,0.003376781983049853207400
Mali,22593598,743,33159,0.003288542179072142471500
Togo,8848700,290,39524,0.003277317572072733847900
Cote d'Ivoire,28160548,835,88338,0.002965141161315468718900
Uzbekistan,34627648,1016,174575,0.002934071641250367336500
Eritrea,3684041,103,10189,0.002795842934429882837900
Bhutan,782457,21,62697,0.002683853553613808809900
Central African Republic,5579148,113,15367,0.002025398860184386576600
Burkina Faso,22673764,396,22056,0.001746511959813994712100
Democratic Republic of Congo,99010216,1468,99181,0.001482675282720320497000
Sierra Leone,8605723,126,7766,0.001464141943680966724100
Nigeria,218541216,3155,267146,0.001443663606227943748600
Tanzania,65497752,846,43078,0.001291647383562110650800
South Sudan,10913172,138,18368,0.001264526940471569585800
Tajikistan,9952789,125,17786,0.001255929368139925401800
Benin,13352864,163,28036,0.001220711901207111822600
Niger,26207982,315,9515,0.001201923902420262651300
Chad,17723312,194,7698,0.001094603536855865314600
Burundi,12889583,15,54366,0.000116373043255161939700
